EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,0,,Skilled Crafts and Trades Workers,Part-Time,6,6,,,,,,,,,,
Edge Transportation Services Ltd.,2006,Provincial,Saskatchewan,0,,Clerical Personnel,Part-Time,1,,1,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,,,Overall,Full-Time,47,41,6,,,,,,,3,3,
P.W. Transportation Ltd.,2006,National,Canada,0,,Semi-Professionals and Technicians,Full-Time,1,1,,,,,,,,1,1,
P.W. Transportation Ltd.,2006,National,Canada,0,,Supervisors: Crafts and Trades,Full-Time,2,2,,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,0,,Administrative and Senior Clerical Personnel,Full-Time,6,2,4,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,0,,Skilled Crafts and Trades Workers,Full-Time,6,6,,,,,,,,1,1,
P.W. Transportation Ltd.,2006,National,Canada,0,,Clerical Personnel,Full-Time,2,1,1,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,0,,Semi-Skilled Manual Workers,Full-Time,21,20,1,,,,,,,1,1,
P.W. Transportation Ltd.,2006,National,Canada,0,,Other Sales and Service Personnel,Full-Time,9,9,,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,,,Overall,Part-Time,20,18,2,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,0,,Intermediate Sales and Service Personnel,Part-Time,4,2,2,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,0,,Semi-Skilled Manual Workers,Part-Time,15,15,,,,,,,,,,
P.W. Transportation Ltd.,2006,National,Canada,0,,Other Sales and Service Personnel,Part-Time,1,1,,,,,,,,,,
P.W. Transportation Ltd.,2006,Provincial,Ontario,,,Overall,Full-Time,47,41,6,,,,,,,3,3,
