EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,SALARYRANGE($),ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 20,000 - $22,499",67,8,59,2,,2,4,1,3,2,1,1
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 22,500 - $24,999",10,2,8,,,,,,,2,,2
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",53,12,41,,,,2,,2,5,2,3
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",36,15,21,1,,1,1,,1,4,1,3
Jazz Aviation L.P.,2009,Part-Time,National,Canada,4811,Scheduled Air Transportation,"$ 35,000 - $39,999",66,15,51,,,,2,1,1,3,,3
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,,,Overall,78,22,56,1,1,,3,,3,9,4,5
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$  7,500 - $ 9,999",6,6,,1,1,,,,,1,1,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 10,000 - $12,499",8,2,6,,,,,,,1,1,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 12,500 - $14,999",7,3,4,,,,,,,1,,1
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 15,000 - $17,499",5,2,3,,,,,,,1,,1
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 17,500 - $19,999",6,1,5,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 20,000 - $22,499",13,2,11,,,,3,,3,1,1,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 22,500 - $24,999",1,,1,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 25,000 - $29,999",9,3,6,,,,,,,1,1,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 30,000 - $34,999",4,2,2,,,,,,,1,,1
Jazz Aviation L.P.,2009,Part-Time,Provincial,Ontario,4811,Scheduled Air Transportation,"$ 35,000 - $39,999",19,1,18,,,,,,,2,,2
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,,,Overall,72,36,36,,,,,,,2,1,1
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$  5,000 - $ 7,499",1,1,,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$  7,500 - $ 9,999",6,5,1,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 10,000 - $12,499",11,5,6,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 12,500 - $14,999",9,3,6,,,,,,,,,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 15,000 - $17,499",8,4,4,,,,,,,1,1,
Jazz Aviation L.P.,2009,Part-Time,Provincial,Québec,4811,Scheduled Air Transportation,"$ 17,500 - $19,999",4,2,2,,,,,,,,,
